Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,LO - def,Light Oxidized - DEF,aj425,,,,,,,,,,,,2,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C1,CONTROL 1,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,A def,Acid - DEF,cjh263,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C2,CONTROL 2,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,B def,Bitter - DEF,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C4,CONTROL 4,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,MC - def,Milk Carton - DEF,cjh263,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C5,CONTROL 5,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,LO - def,Light Oxidized - DEF,cjh263,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C1,CONTROL 1,ram524,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,A def,Acid - DEF,ram524,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C2,CONTROL 2,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C3,CONTROL 3,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,B def,Bitter - DEF,ram524,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C4,CONTROL 4,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,MC - def,Milk Carton - DEF,ram524,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C5,CONTROL 5,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,LO - def,Light Oxidized - DEF,ram524,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C1,CONTROL 1,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,A def,Acid - DEF,sjr267,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C2,CONTROL 2,sjr267,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C3,CONTROL 3,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,B def,Bitter - DEF,sjr267,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C4,CONTROL 4,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,MC - def,Milk Carton - DEF,sjr267,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C5,CONTROL 5,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,LO - def,Light Oxidized - DEF,sjr267,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C1,CONTROL 1,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,A def,Acid - DEF,at543,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C2,CONTROL 2,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C3,CONTROL 3,at543,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,B def,Bitter - DEF,at543,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C4,CONTROL 4,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,MC - def,Milk Carton - DEF,at543,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C5,CONTROL 5,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,LO - def,Light Oxidized - DEF,at543,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C1,CONTROL 1,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,A def,Acid - DEF,sw38,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C2,CONTROL 2,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C3,CONTROL 3,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C4,CONTROL 4,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,MC - def,Milk Carton - DEF,sw38,,,,,,,,,,,,,,1,,,,,8.9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C5,CONTROL 5,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,LO - def,Light Oxidized - DEF,sw38,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C1,CONTROL 1,yy622,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,A def,Acid - DEF,yy622,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C2,CONTROL 2,yy622,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C3,CONTROL 3,yy622,,1,,,,,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,B def,Bitter - DEF,yy622,,,,,,,,,,,,,,,,,,,10,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C4,CONTROL 4,yy622,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,MC - def,Milk Carton - DEF,yy622,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C5,CONTROL 5,yy622,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,LO - def,Light Oxidized - DEF,yy622,,,,,,,,,,2,,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C1,CONTROL 1,eg554,,,,,,,,,,,,,,1,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,A def,Acid - DEF,eg554,,,,,,,,,2,,,,,,,,,,3,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C2,CONTROL 2,eg554,,,,,,,,,,,,,,1,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C3,CONTROL 3,eg554,,,,,,,1,,,,,,,,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,B def,Bitter - DEF,eg554,,,,2,,,,,,,,,,,,,,,3,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C4,CONTROL 4,eg554,,,,,,,,,,,,,,,,,,,10,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,MC - def,Milk Carton - DEF,eg554,,,,,1,,,,,,,,,,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C5,CONTROL 5,eg554,,,,,,,1,,,,,,,,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,LO - def,Light Oxidized - DEF,eg554,,,,,,1,,,,,,,,,,,,,9,NT
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C1,CONTROL 1,ab2525,,,,,,,3,,,,,,,,,,,,7,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,A def,Acid - DEF,ab2525,3,,,,,,,,,,,,,,,,,,0,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C2,CONTROL 2,ab2525,,,,,,,3,,,,,,,,,,,,7,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C3,CONTROL 3,ab2525,,,,,,,,1,,,,,,,,,,,5,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,B def,Bitter - DEF,ab2525,,,,,,2,,,,,,,,,,,,,8,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C4,CONTROL 4,ab2525,,,,,,,2,,,,,,,,,,,,8,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,MC - def,Milk Carton - DEF,ab2525,,3,,,,,,,,,,,,,,,,,6,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C5,CONTROL 5,ab2525,,,,,,,,,,,,1,,,,,,,5,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,LO - def,Light Oxidized - DEF,ab2525,,,,,,3,,,,,,,,,,,,,1,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C1,CONTROL 1,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,A def,Acid - DEF,dk657,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C2,CONTROL 2,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C3,CONTROL 3,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,B def,Bitter - DEF,dk657,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C4,CONTROL 4,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,MC - def,Milk Carton - DEF,dk657,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C5,CONTROL 5,dk657,,,,,,,,,,,,,1,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,LO - def,Light Oxidized - DEF,dk657,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C1,CONTROL 1,nrs13,,,,,,,,,,,,,,,,,,,9.3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,A def,Acid - DEF,nrs13,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C2,CONTROL 2,nrs13,,,,,,,,,,,,,,,,,,,9.2,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C3,CONTROL 3,nrs13,,,,,,,,,,,,,,,,,,,9.3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,B def,Bitter - DEF,nrs13,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C4,CONTROL 4,nrs13,,,,,,,,,,,,,,,,,,,9.3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,MC - def,Milk Carton - DEF,nrs13,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C5,CONTROL 5,nrs13,,,,,,,,,,,,,,,,,,,9.2,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,LO - def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C1,CONTROL 1,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,A def,Acid - DEF,kg292,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C2,CONTROL 2,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C3,CONTROL 3,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,B def,Bitter - DEF,kg292,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C4,CONTROL 4,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,MC - def,Milk Carton - DEF,kg292,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C5,CONTROL 5,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,LO - def,Light Oxidized - DEF,kg292,,,,,,,,,,,2,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,SKIM WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,CK - def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,FL - def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
3,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
4,FF - def,2011,Fruity Fermented - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
6,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
7,R - def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,M - def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,FE - def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,CK - def,Cooked - DEF,jat324,1,,,,,,,,2,,,,,,,,,,4,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,FL - def,Flat - DEF,jat324,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,C6,CONTROL 6,jat324,,,,,,,,,2,,,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,FF - def,Fruity Fermented - DEF,jat324,,,,,,,,,3,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,C7,CONTROL 7,jat324,,,,,2,,1,,,,,,,1,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,C8,CONTROL 8,jat324,,,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,R - def,Rancid - DEF,jat324,,,,,3,,,,,,,,,,,,,3,2,Cheese
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,M - def,Malty - DEF,jat324,,,1,,,1,,,,,,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,FE - def,Feed - DEF,jat324,,,,,,,,2,,,3,,2,,,,,,2,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,CK - def,Cooked - DEF,av354,,,,,,,,,,,,,,,1,1,,,3,Rancid. Smelled Nast like BO
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,FL - def,Flat - DEF,av354,,,,,2,,,,,,,,1,,,,,,5,Too coke odor and very malty
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,C6,CONTROL 6,av354,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,FF - def,Fruity Fermented - DEF,av354,,,,,,,,,1,1,,,,,,,,,5,Milk shouldn't taste fruity
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,C7,CONTROL 7,av354,,,,,1,,,,,,,,1,,,,,,5,Malty odor
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,C8,CONTROL 8,av354,,,,,,,,,,,,,,,1,,,,4,Rancid. Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,R - def,Rancid - DEF,av354,,,,,,,,,,,,,,1,2,,,,1,Very rancid. Like new box Parmesan cheez it's
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,M - def,Malty - DEF,av354,,,,,,1,,,,,,,,,2,,,,1,Rancid overpowering
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,FE - def,Feed - DEF,av354,,,,,,2,,,,,,,,,,,,,8,Strongly of feed
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,CK - def,Cooked - DEF,ap262,,,,,0.5,,,,,,,,1,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,FL - def,Flat - DEF,ap262,,0.5,,,,,,,,0.5,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,C6,CONTROL 6,ap262,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,FF - def,Fruity Fermented - DEF,ap262,,,,,,,,,3,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,C7,CONTROL 7,ap262,,2,,0.5,,,,,,,,,,0.5,0.5,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,C8,CONTROL 8,ap262,,0.5,,,,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,R - def,Rancid - DEF,ap262,,,,,,,,,,,,,,0.5,,,,2,4,"Not sure if unclean, rancid or lipid oxidized"
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,M - def,Malty - DEF,ap262,,,,,,,,,,,,,3,,1,,,,4,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,FE - def,Feed - DEF,ap262,,,,2,,3,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,CK - def,Cooked - DEF,aj425,,,,,,,,,,,,,,,2,,,,1,Nt
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,FL - def,Flat - DEF,aj425,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,C6,CONTROL 6,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,FF - def,Fruity Fermented - DEF,aj425,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,C7,CONTROL 7,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,C8,CONTROL 8,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,R - def,Rancid - DEF,aj425,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,M - def,Malty - DEF,aj425,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,FE - def,Feed - DEF,aj425,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,CK - def,Cooked - DEF,cjh263,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,FL - def,Flat - DEF,cjh263,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,C6,CONTROL 6,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,FF - def,Fruity Fermented - DEF,cjh263,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,C7,CONTROL 7,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,C8,CONTROL 8,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,R - def,Rancid - DEF,cjh263,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,M - def,Malty - DEF,cjh263,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,FE - def,Feed - DEF,cjh263,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,CK - def,Cooked - DEF,ram524,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,FL - def,Flat - DEF,ram524,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,C6,CONTROL 6,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,FF - def,Fruity Fermented - DEF,ram524,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,2,C7,CONTROL 7,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,1,C8,CONTROL 8,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,3,R - def,Rancid - DEF,ram524,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,5,M - def,Malty - DEF,ram524,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,FE - def,Feed - DEF,ram524,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,7,CK - def,Cooked - DEF,sjr267,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,9,FL - def,Flat - DEF,sjr267,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,8,C6,CONTROL 6,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,6,FF - def,Fruity Fermented - DEF,sjr267,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK,4,C7,CONTROL 7,sjr267,,,,,,,,,,,,,,,,,,,10,
